"""Main code""","""Main item-Brand""","""Main item-Description""","""Main item-Size""","""POS information-POS description""","""POS information-Follow sub-department""","""POS information-Taxable-Tax 1""","""POS information-Taxable-Tax 2""","""POS information-Taxable-Tax 3""","""POS information-Taxable-Tax 4""","""POS information-Food stamp""","""POS information-Not for sale""","""POS information-Scalable""","""Price-Regular-Price""","""Price-Regular-Quantity""","""Price-Regular-Margin""","""Price-TPR-Price""","""Price-TPR-Quantity""","""Price-TPR-Margin""","""Price-Sale-Price""","""Price-Sale-Quantity""","""Price-Sale-Margin""","""Price-Store-Price""","""Price-Store-Quantity""","""Price-Store-Margin""","""Price-Active-Source""","""Price-Active-Price""","""Price-Active-Quantity""","""Price-Active-Margin""","""Price-Next-Date""","""Price-Next-Time""","""Price-Next-Source""","""Price-Next-Price""","""Price-Next-Quantity""","""Price-Next-Margin""","""Cost-Base-Base cost""","""Cost-Base-Case""","""Cost-Base-Unit cost""","""Cost-Base-Format""","""Cost-Vendor-Authorized""","""Cost-Vendor-ID""","""Cost-Vendor-Code""","""Department-Number""","""Department-Description""","""Sub-department-Number""","""Sub-department-Description""","""Location-Shelf""","""Location-Facing""","""Location-Aisle""","""Location-Section"""
0000000000000,,,,,1,,,,,,0,,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.00,0,0,,,,0.00,0,0,0.00,1,0.00,CASE,,,,0,,0,,,0,,
0000000000001,HUDSON GROCERY COOP,HGC REUSABLE BAG,EA,HGC REUSABLE BAG,0,1,,,,,0,,3.00,1,50,0.00,0,0,0.00,0,0,0.00,0,0,REG,3.00,1,50,,,,0.00,0,0,1.50,1,1.50,CASE,,1165,,40600,WELLNESS,40630,MERCANTILE,,0,,
0000000000002,UNKNOWN?,HGC REUSABLE BOX,EA,HGC REUSABLE BOX,0,1,,,,,0,,3.00,1,16,0.00,0,0,3.00,1,16,0.00,0,0,REG,3.00,1,16,,,,0.00,0,0,2.51,1,2.51,CASE,,1165,,40600,WELLNESS,40630,MERCANTILE,,0,,
0000000000003,HUDSON GROCERY COOP,HGC INSULATED BA,EA,HGC INSULATED BA,0,1,,,,,0,,8.00,2,28,0.00,0,0,0.00,0,0,0.00,0,0,REG,8.00,2,28,,,,0.00,0,0,2.90,1,2.90,CASE,,1165,,40600,WELLNESS,40630,MERCANTILE,,0,,
0000000000005,BAGS,BRING YOUR OWN BAG,EA,BRING YOUR OWN BAG,,,,,,,0,,0.10,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.10,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1165,,40700,FEES & NON ITEMS,47220,FEES & DONATIONS,,0,,
0000000000007,TRU JOY,CANDY CANE,EA,CANDY CANE,,1,,,,1,0,0,0.49,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.49,1,45,,,,0.00,0,0,3.25,12,0.27,CASE,,1000,,40100,GROCERY,40110,PACKAGED GROCERY,,0,,
0000000000008,PEACE COFFEE,$.25 COFFEE CUP,1 EA,$.25 COFFEE CUP 1 EA,0,1,,,,,0,,5.29,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,5.29,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1070,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000009,BULK WATER 1 QT,BULK WATER 1 QT,EA,BULK WATER 1 QT,,,,,,1,0,,0.13,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.13,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1109,,40100,GROCERY,40110,PACKAGED GROCERY,,0,,
0000000000010,LARRY SCHULTZ,BULK BROWN EGGS,EA,BULK BROWN EGGS,0,,,,,1,0,,0.39,1,23,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.39,1,23,,,,0.00,0,0,54.00,180,0.30,CASE,,1046,,40100,GROCERY,40120,REFRIGERATED,39,0,R2,B
0000000000011,STAR CHART,FREE LUNCH,EA,FREE LUNCH,,,,,,,0,,0.00,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.00,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1017,,47000,FEES & NON ITEMS,42340,STORE COUPONS FOOD SERVICE,,0,,
0000000000012,HUDSON GROCERY COOP,FREE BAG W PURCHASE,EA,FREE BAG W PURCHASE,,,,,,,0,,3.00,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,3.00,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1165,,40700,FEES & NON ITEMS,47220,FEES & DONATIONS,,0,,
0000000000014,YUMMY EARTH,O LOLLIPOPS,EA,O LOLLIPOPS,,1,,,,1,0,,0.39,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.39,1,45,,,,0.00,0,0,26.96,125,0.22,CASE,,1000,,40100,GROCERY,40110,PACKAGED GROCERY,1,0,L1,A
0000000000015,$2.00 BOTTLE RETURN,$2.00 BOTTLE RETURN,EA,$2.00 BOTTLE RETURN,,,,,,,0,,2.00,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.00,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1016,,40700,FEES & NON ITEMS,47220,FEES & DONATIONS,,0,,
0000000000020,1 GALLON REFILL,1 GALLON REFILL,gal,1 GALLON REFILL,,,,,,1,0,,0.49,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.49,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1109,,40100,GROCERY,40110,PACKAGED GROCERY,,0,,
0000000000021, WESTCREE MAYO,MAYO PACKETS,500/12G,MAYO PACKETS,0,,,,,1,0,,0.29,1,58,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.29,1,58,,,,0.00,0,0,60.97,500,0.12,CASE,,1170,19458,40300,PREPARED FOODS,40350,GRAB & GO,16,0,D1,B
0000000000022, WESTCREE MAYO,TARTAR SAUCE PACKET,200/1 OZ,MAYO PACKETS,0,,,,,1,0,,0.49,1,56,0.00,0,0,0.00,0,0,0.00,0,0,REG,0.49,1,56,,,,0.00,0,0,43.50,200,0.22,CASE,,1170,642876,40300,PREPARED FOODS,40350,GRAB & GO,16,0,D1,B
0000000000050,BIOFORCE,GALLON PUMP DISPENSR,EA,GALLON PUMP DISPENSR,0,1,,,,,0,,6.89,1,51,0.00,0,0,0.00,0,0,0.00,0,0,REG,6.89,1,51,,,,0.00,0,0,3.40,1,3.40,CASE,,1010,,40600,WELLNESS,40630,MERCANTILE,8,0,W1,B
0000000000065,EMPLOYEE DELI DISC,$2 PER LB EMP DELI,LB,$2 PER LB EMP DELI,,1,,,,,0,1,2.00,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.00,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1021,,40300,PREPARED FOODS,40340,FOOD SERVICE,,0,,
0000000000080,COUPON,$1 OFF NEXT PURCHASE,EA,$1 OFF NEXT PURCHASE,,,,,,,0,,1.00,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.00,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1017,,47000,FEES & NON ITEMS,43300,DISCOUNTS,,0,,
0000000000090,PRIMAL HACKER,SUPERFOOD SOURKRAUT,EA,SUPERFOOD SOURKRAUT,,,,,,1,0,,9.69,1,28,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.69,1,28,,,,0.00,0,0,7.00,1,7.00,CASE,,1145,,40100,GROCERY,40120,REFRIGERATED,38,0,R1,B
0000000000091,PRIMAL HACKER,SWT SASSY SOURKRAUT,EA,SWT SASSY SOURKRAUT,,,,,,1,0,,9.69,1,28,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.69,1,28,,,,0.00,0,0,7.00,1,7.00,CASE,,1145,,40100,GROCERY,40120,REFRIGERATED,38,0,R1,B
0000000000092,PRIMAL HACKER,COSMIC KIM-CHI,EA,COSMIC KIM-CHI,,,,,,1,0,,9.69,1,28,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.69,1,28,,,,0.00,0,0,7.00,1,7.00,CASE,,1145,,40100,GROCERY,40120,REFRIGERATED,38,0,R1,B
0000000000095,WILDER WAFFLES,CIN RAISIN WAFFLES,4 CT,CIN RAISIN WAFFLES,0,0,0,,,1,0,,14.99,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,14.99,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1053,,40100,GROCERY,40130,FROZEN,14,0,R5,F
0000000000100,DELI-BEVERAGES,DELI COFFEE TEA,EA,DELI COFFEE TEA,,1,,,,,0,,1.89,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.89,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1021,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000101,MANIFEST KOMBUCHA,HOWLER BOTTLE,1 EA,HOWLER BOTTLE,0,1,,,,,0,,6.99,1,14,0.00,0,0,0.00,0,0,0.00,0,0,REG,6.99,1,14,,,,0.00,0,0,6.00,1,6.00,CASE,,1130,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000102,MANIFEST KOMBUCHA,GROWLER BOTTLE,1 EA,GROWLER BOTTLE,0,1,,,,,0,,9.99,1,10,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.99,1,10,,,,0.00,0,0,9.00,1,9.00,CASE,,1130,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000103,MANIFEST KOMBUCHA,BULK KOMBUCHA,PER LB,BULK KOMBUCHA PER LB,0,1,,,,,0,1,4.99,1,33,0.00,0,0,0.00,0,0,0.00,0,0,REG,4.99,1,33,,,,0.00,0,0,120.00,36,3.33,CASE,,1130,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000104,MANIFEST KOMBUCHA,32 OZ HOWLER REFILL,32 FL OZ,32 OZ HOWLER REFILL 32 FL OZ,0,1,,,,1,0,,9.99,1,33,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.99,1,33,,,,0.00,0,0,6.72,1,6.72,CASE,,1130,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000105,MANIFEST KOMBUCHA,64 OZ HOWLER REFILL,64 FL OZ,64 OZ HOWLER REFILL 64 FL OZ,0,1,,,,1,0,0,19.99,1,33,0.00,0,0,0.00,0,0,0.00,0,0,REG,19.99,1,33,,,,0.00,0,0,13.44,1,13.44,CASE,,1130,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000110,BACKROADS,GRANOLA DRK CHC PCN,LB,GRANOLA DRK CHC PCN,,1,,,,1,0,1,15.29,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,15.29,1,45,,,,0.00,0,0,8.41,1,8.41,CASE,,1012,,40100,GROCERY,40140,BULK,,0,,
0000000000111,GRANDY OATS,GRANOLA CHOC ALMOND,PER LB,GRANOLA CHOC ALMOND,,1,,,,1,0,1,14.49,1,46,0.00,0,0,10.99,1,29,0.00,0,0,SALE,10.99,1,29,7/1/2025,2359,REG,14.49,1,46,77.87,10,7.79,CASE,,1000,1090067,40100,GROCERY,40140,BULK,,0,,
0000000000112,DELI BEVERAGES,DELI COFFEE TEA 12OZ,OZ,DELI COFFEE TEA 12OZ,,1,,,,,0,,1.65,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.65,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1021,,40300,PREPARED FOODS,40320,BEVERAGE BAR,,0,,
0000000000113,TIERRA FARMS,GRANOLA O NAUGHTY,LB,GRANOLA O NAUGHTY,,1,,,,1,0,1,8.79,1,52,0.00,0,0,0.00,0,0,0.00,0,0,REG,8.79,1,52,,,,0.00,0,0,4.20,1,4.20,CASE,,1000,,40100,GROCERY,40140,BULK,,0,,
0000000000114,BACK ROADS,GRANOLA ANCIENT GRNS,PER LB,GRANOLA ANCIENT GRNS,,,,,,1,0,1,15.49,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,15.49,1,46,,,,0.00,0,0,235.50,28,8.41,CASE,,1003,DW1428AG,40100,GROCERY,40140,BULK,,0,,
0000000000115,PURE BLISS,GRANOLA MPL ALM CLST,LB,GRANOLA MPL ALM CLST,,1,,,,1,0,1,17.39,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,17.39,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1069,,40100,GROCERY,40140,BULK,,0,,
0000000000116,GRANDY OATS,TRAIL MIX O ANTI-OX,PER LB,TRAIL MIX O ANTI-OX,,1,,,,1,0,1,15.99,1,46,0.00,0,0,11.99,1,28,0.00,0,0,SALE,11.99,1,28,7/1/2025,2359,REG,15.99,1,46,86.75,10,8.68,CASE,,1000,1090042,40100,GROCERY,40140,BULK,,0,,
0000000000119,UNFI,GRANOLA O BBRY FLAX,PER LB,GRANOLA O BBRY FLAX,,,,,,1,0,1,5.99,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,5.99,1,45,,,,0.00,0,0,82.00,25,3.28,CASE,,1000,0206300,40100,GROCERY,40140,BULK,,0,,
0000000000121,ORGANIC,GRANOLA O ACAI BAN,LB,GRANOLA O ACAI BAN,,,,,,1,0,1,8.59,1,30,0.00,0,0,0.00,0,0,0.00,0,0,REG,8.59,1,30,,,,0.00,0,0,6.00,1,6.00,CASE,,1012,,40100,GROCERY,40140,BULK,,0,,
0000000000124,NATURES PATH,GRANOLA O HEMP PLUS,LB,GRANOLA O HEMP PLUS,,,,,,1,0,1,8.39,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,8.39,1,0,,,,0.00,0,0,0.00,25,0.00,CASE,,1000,,40100,GROCERY,40140,BULK,,0,,
0000000000125,GOLDEN TEMPLE,GRANOLA FR VAN ALMD,PER LB,GRANOLA FR VAN ALMD,,,,,,1,0,1,5.49,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,5.49,1,45,,,,0.00,0,0,75.53,25,3.02,CASE,,1045,158634,40100,GROCERY,40140,BULK,,0,,
0000000000126,PURE BLISS,PRETTY GOOD STUFF,LB,PRETTY GOOD STUFF,,1,,,,1,0,1,14.89,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,14.89,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1069,,40100,GROCERY,40140,BULK,,0,,
0000000000127,PURE BLISS,GRANOLA O CRT CAKE,PER LB,GRANOLA O CRT CAKE,,1,,,,1,0,1,17.99,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,17.99,1,46,,,,0.00,0,0,97.50,10,9.75,CASE,,1069,410 CCP/10LB,40100,GROCERY,40140,BULK,,0,,
0000000000128,PURE BLISS,BANANA BRD GRANOLA,PER LB,BANANA BRD GRANOLA,,1,,,,1,0,1,8.29,1,47,0.00,0,0,0.00,0,0,0.00,0,0,REG,8.29,1,47,,,,0.00,0,0,110.00,25,4.40,CASE,,1069,425 BB/25LB,40100,GROCERY,40140,BULK,,0,,
0000000000129,GRANDY OATS,MUESLI O SWISS,PER LB,MUESLI O SWISS,,,,,,1,0,1,7.49,1,45,0.00,0,0,4.99,1,18,0.00,0,0,SALE,4.99,1,18,7/1/2025,2359,REG,7.49,1,45,40.96,10,4.10,CASE,,1000,2333144,40100,GROCERY,40140,BULK,,0,,
0000000000130,PURE BLISS,CASHEWS O SESAME HONEY,PER LB,CASHEWS O SESAME HONEY,0,1,,,,1,0,1,18.99,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,18.99,1,46,,,,0.00,0,0,112.97,11,10.27,CASE,,1069,511 SHC/11LB,40100,GROCERY,40140,BULK,,0,,
0000000000133,TIERRA FARM,GRANOLA O GOJI BRRY,LB,GRANOLA O GOJI BRRY,,,,,,1,0,1,9.59,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.59,1,45,,,,0.00,0,0,105.00,20,5.25,CASE,,1083,,40100,GROCERY,40140,BULK,,0,,
0000000000136,BACK ROADS,GRANOLA C CCNT GNGR,PER LB,GRANOLA C CCNT GNGR,,1,,,,1,0,1,15.49,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,15.49,1,46,,,,0.00,0,0,235.50,28,8.41,CASE,,1003,DW1428PCG,40100,GROCERY,40140,BULK,,0,,
0000000000137,BACK ROADS,GRANOLA C MAPLE PCN,PER LB,GRANOLA C MAPLE PCN,,1,,,,1,0,1,15.49,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,15.49,1,46,,,,0.00,0,0,235.50,28,8.41,CASE,,1003,DW1428PMP,40100,GROCERY,40140,BULK,,0,,
0000000000140,PURE BLISS,GRANOLA O CSHW CRAN,LB,GRANOLA O CSHW CRAN,,,,,,1,0,1,10.39,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,10.39,1,0,,,,0.00,0,0,0.00,25,0.00,CASE,,1069,,40100,GROCERY,40140,BULK,,0,,
0000000000149,TIERRA FARMS,GRANOLA O MPL GNGR,LB,GRANOLA O MPL GNGR,,,,,,1,0,1,7.69,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,7.69,1,45,,,,0.00,0,0,84.00,20,4.20,CASE,,1012,,40100,GROCERY,40140,BULK,,0,,
0000000000150,TEST,TEST,TEST,,1,,,,,,0,,12.65,1,15,0.00,0,0,0.00,0,0,0.00,0,0,REG,12.65,1,15,,,,0.00,0,0,10.75,1,10.75,CASE,,1093,,0,,0,,40,0,R3,D
0000000000151,UNFI,BRAN O OAT,PER LB,BRAN O OAT,,,,,,1,0,1,4.29,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,4.29,1,46,,,,0.00,0,0,57.64,25,2.31,CASE,,1000,46477-6,40100,GROCERY,40140,BULK,,0,,
0000000000152,GRANDY OATS,CASHEW  O TRM GN,LB,CASHEW  O TRM GN,,1,,,,1,0,1,26.69,1,55,0.00,0,0,15.99,1,25,0.00,0,0,SALE,15.99,1,25,7/1/2025,2359,REG,26.69,1,55,119.55,10,11.96,CASE,,1035,,40100,GROCERY,40140,BULK,,0,,
0000000000199,OLIPHANT BREWING,SODA VOLCANO VISTA SINGLE,16 OZ,SODA VOLCANO VISTA SINGLE 16 OZ,,1,,,,1,0,,1.99,1,33,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.99,1,33,,,,0.00,0,0,32.00,24,1.33,CASE,,1175,,40100,GROCERY,40110,PACKAGED GROCERY,,0,,
0000000000200,OLIPHANT BREWING,SODA LEMONADE SINGLE,16 OZ,SODA LEMONADE SINGLE 16 OZ,,1,,,,1,0,,1.99,1,33,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.99,1,33,,,,0.00,0,0,32.00,24,1.33,CASE,,1175,,40100,GROCERY,40110,PACKAGED GROCERY,,0,,
0000000000211,BULK,PASTA WF GARDEN,LB,PASTA WF GARDEN,,,,,,1,0,1,8.59,1,42,0.00,0,0,0.00,0,0,0.00,0,0,REG,8.59,1,42,,,,0.00,0,0,5.00,1,5.00,CASE,,1012,,40100,GROCERY,40140,BULK,,0,,
0000000000212,TINKIYADA,PASTA O BRNR RC SPR,PER LB,PASTA O BRNR RC SPR,,,,,,1,0,1,5.99,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,5.99,1,46,,,,0.00,0,0,32.22,10,3.22,CASE,,1000,0296939,40100,GROCERY,40140,BULK,,0,,
0000000000240,RIVER CITY JUICE,GREEN OASIS JUICE,FL OZ,GREEN OASIS JUICE,,,,,,1,0,,12.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,12.49,1,40,,,,0.00,0,0,7.50,1,7.50,CASE,,1125,,40500,PRODUCE & FLORAL,40510,PRODUCE,,0,,
0000000000241,RIVER CITY JUICE,BLUE LAGOON JUICE,FL OZ,BLUE LAGOON JUICE,,,,,,1,0,,12.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,12.49,1,40,,,,0.00,0,0,7.50,1,7.50,CASE,,1125,,40500,PRODUCE & FLORAL,40510,PRODUCE,,0,,
0000000000242,RIVER CITY JUICE,THE REGULATOR JUICE,FL OZ,THE REGULATOR JUICE,,,,,,1,0,,12.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,12.49,1,40,,,,0.00,0,0,7.50,1,7.50,CASE,,1125,,40500,PRODUCE & FLORAL,40510,PRODUCE,,0,,
0000000000243,RIVER CITY JUICE,EMERALD ELIXIR JUICE,FL OZ,EMERALD ELIXIR JUICE,,,,,,1,0,,12.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,12.49,1,40,,,,0.00,0,0,7.50,1,7.50,CASE,,1125,,40500,PRODUCE & FLORAL,40510,PRODUCE,,0,,
0000000000244,RIVER CITY JUICE,ZINGER JUICE,FL OZ,ZINGER JUICE,,,,,,1,0,,2.79,1,39,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.79,1,39,,,,0.00,0,0,1.70,1,1.70,CASE,,1125,,40500,PRODUCE & FLORAL,40510,PRODUCE,,0,,
0000000000245,RIVER CITY JUICE,ORANGE CRUSH JUICE,FL OZ,ORANGE CRUSH JUICE,,,,,,1,0,,12.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,12.49,1,40,,,,0.00,0,0,7.50,1,7.50,CASE,,1125,,40500,PRODUCE & FLORAL,40510,PRODUCE,,0,,
0000000000257,UNFI,COUSCOUS O MIDEAST,PER LB,COUSCOUS O MIDEAST,,,,,,1,0,1,3.39,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,3.39,1,45,,,,0.00,0,0,46.24,25,1.85,CASE,,1000,0464636,40100,GROCERY,40140,BULK,,0,,
0000000000299,FRONTIER,ASTRAGALUS O ROOT,LB,ASTRAGALUS O ROOT,,1,,,,0,0,1,26.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,26.49,1,40,,,,0.00,0,0,15.89,1,15.89,CASE,,1032,,40100,GROCERY,40140,BULK,,0,,
0000000000301,WHOLE GRAIN MILLIN,FLOUR O WW BREAD,PER LB,FLOUR O WW BREAD,,,,,,1,0,1,1.99,1,50,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.99,1,50,,,,0.00,0,0,25.00,25,1.00,CASE,,1091,25#-BFW,40100,GROCERY,40140,BULK,,0,,
0000000000302,WHOLE GRAIN MILLIN,FLOUR O WW PASTRY,PER LB,FLOUR O WW PASTRY,,,,,,1,0,1,2.09,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.09,1,45,,,,0.00,0,0,11.50,10,1.15,CASE,,1091,10#-PFW,40100,GROCERY,40140,BULK,,0,,
0000000000303,UNFI,FLOUR O SEMOLINA,LB,FLOUR O SEMOLINA,,,,,,1,0,1,3.19,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,3.19,1,40,,,,0.00,0,0,47.85,25,1.91,CASE,,1000,,40100,GROCERY,40140,BULK,,0,,
0000000000304,FRONTIER,TEA O GUNPWDR GREEN,PER LB,TEA O GUNPWDR GREEN PER LB,,,,,,1,0,1,29.49,1,46,0.00,0,0,20.99,1,24,0.00,0,0,REG,29.49,1,46,,,,0.00,0,0,15.96,1,15.96,CASE,,1032,,40100,GROCERY,40140,BULK,,0,,
0000000000305,FRONTIER,TEA O MATCH GRN PWDR,PER LB,TEA O MATCH GRN PWDR,,,,,,1,0,1,84.49,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,84.49,1,45,,,,0.00,0,0,46.39,1,46.39,CASE,,1032,4889,40100,GROCERY,40140,BULK,,0,,
0000000000308,UNFI,FLOUR O ALL PURPOSE,PER LB,FLOUR O ALL PURPOSE,,,,,,1,0,1,2.29,1,48,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.29,1,48,,,,0.00,0,0,60.04,50,1.20,CASE,,1000,0484733,40100,GROCERY,40140,BULK,,0,,
0000000000310,FRONTIER,CLAY FRENCH GREEN,LB,CLAY FRENCH GREEN,,1,,,,0,0,1,13.69,1,43,0.00,0,0,0.00,0,0,0.00,0,0,REG,13.69,1,43,,,,0.00,0,0,7.80,1,7.80,CASE,,1012,,40100,GROCERY,40140,BULK,,0,,
0000000000312,FRONTIER,NUTRITIONAL YST SLT,LB,NUTRITIONAL YST SLT,,,,,,1,0,1,18.19,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,18.19,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1032,,40100,GROCERY,40140,BULK,,0,,
0000000000313,WHOLE GRAIN MILLIN,CORNMEAL O HILYSINE,PER LB,CORNMEAL O HILYSINE,,,,,,1,0,1,1.69,1,47,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.69,1,47,,,,0.00,0,0,9.00,10,0.90,CASE,,1091,10#-CMW,40100,GROCERY,40140,BULK,,0,,
0000000000314,WHOLE GRAIN MILLIN,FLOUR O MILLET,PER LB,FLOUR O MILLET,,,,,,1,0,1,2.79,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.79,1,46,,,,0.00,0,0,15.00,10,1.50,CASE,,1091,10#-MLFW,40100,GROCERY,40140,BULK,,0,,
0000000000315,WHOLE GRAIN MILLIN,FLOUR O RYE,PER LB,FLOUR O RYE,,,,,,1,0,1,1.69,1,47,0.00,0,0,0.00,0,0,0.00,0,0,REG,1.69,1,47,,,,0.00,0,0,9.00,10,0.90,CASE,,1091,10#-RFW,40100,GROCERY,40140,BULK,,0,,
0000000000316,BOB'S RED MILL,FLOUR O COCONUT,LB,FLOUR O COCONUT,,,,,,1,0,1,4.59,1,38,0.00,0,0,0.00,0,0,0.00,0,0,REG,4.59,1,38,,,,0.00,0,0,70.69,25,2.83,CASE,,1000,,40100,GROCERY,40140,BULK,,0,,
0000000000317,WHOLE GRAIN MILLIN,FLOUR O SPELT WHITE,LB,FLOUR O SPELT WHITE,,,,,,1,0,1,3.49,1,40,0.00,0,0,0.00,0,0,0.00,0,0,REG,3.49,1,40,,,,0.00,0,0,52.35,25,2.09,CASE,,1091,,40100,GROCERY,40140,BULK,,0,,
0000000000318,FRONTIER,NUTRITIONAL YST NCHO,LB,NUTRITIONAL YST NCHO,,,,,,1,0,1,18.19,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,18.19,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1032,,40100,GROCERY,40140,BULK,,0,,
0000000000319,BULK,YEAST ACTIVE DRY,LB,YEAST ACTIVE DRY,,,,,,1,0,1,10.59,1,0,0.00,0,0,0.00,0,0,0.00,0,0,REG,10.59,1,0,,,,0.00,0,0,0.00,1,0.00,CASE,,1012,,40100,GROCERY,40140,BULK,,0,,
0000000000320,FRONTIER,NUTRITIONAL YEAST,PER LB,NUTRITIONAL YEAST,,,,,,1,0,1,21.89,1,45,0.00,0,0,0.00,0,0,0.00,0,0,REG,21.89,1,45,,,,0.00,0,0,47.97,4,11.99,CASE,,1032,4944,40100,GROCERY,40140,BULK,,0,,
0000000000321,FRONTIER,CORNSTARCH O,PER LB,CORNSTARCH O,,,,,,1,0,1,9.99,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,9.99,1,46,,,,0.00,0,0,5.35,1,5.35,CASE,,1032,0546499,40100,GROCERY,40140,BULK,,0,,
0000000000322,WHOLE GRAIN MILLIN,FLOUR GLUTEN,PER LB,FLOUR GLUTEN,,,,,,1,0,1,4.29,1,46,0.00,0,0,0.00,0,0,0.00,0,0,REG,4.29,1,46,,,,0.00,0,0,23.00,10,2.30,CASE,,1091,10#-GFW,40100,GROCERY,40140,BULK,,0,,
0000000000323,UNFI,FLOUR O WHITE RICE,PER LB,FLOUR O WHITE RICE,,,,,,1,0,1,2.99,1,50,0.00,0,0,0.00,0,0,0.00,0,0,REG,2.99,1,50,,,,0.00,0,0,37.42,25,1.50,CASE,,1000,046411-5,40100,GROCERY,40140,BULK,,0,,
